,steady state,pgi,pyk,pgl,rpi,tala
GLCpts,2.752,2.73,2.82,3.36,3.18,2.8
PGI,1.843,0.01,2.087,2.621,2.131,2.38
PFK,2.373,0.928,2.369,2.89,2.194,2.436
FBA,2.283,0.928,2.369,2.89,2.194,2.436
TPI,2.283,0.928,2.369,2.89,2.194,2.436
GAPD,4.738,3.276,4.794,5.813,4.993,4.872
PGM,-4.471,-2.976,-4.512,-5.443,-4.706,-4.564
PYK,1.56,0.137,1.438,1.714,1.431,1.092
PDH,3.894,3.331,3.638,4.402,4.611,3.276
PGL,0.872,2.675,0.677,0.672,0.986,0.364
GND,0.872,1.665,0.677,0.672,0.382,0.364
RPE,0.452,0.956,0.282,0.269,0.095,0.084
RPI,-0.419,-0.853,-0.459,-0.394,-0.295,-0.328
TKT1,0.258,0.519,0.197,0.202,0.095,0.084
TALA,0.258,0.519,0.197,0.202,0.095,0.084
TKT2,0.194,0.437,0.113,0.101,0.01,0.01
CS,2.689,1.829,2.341,2.957,3.148,2.408
ACONTa,2.689,1.829,2.341,2.957,3.148,2.408
ICDHyr,2.154,1.119,1.833,2.453,2.512,2.324
AKGDH,1.961,0.901,1.607,2.184,2.29,2.1
SUCDi,2.613,1.583,2.087,2.688,2.926,2.156
FUM,2.496,1.583,2.087,2.688,2.926,2.156
MDH,2.694,2.211,2.594,3.158,3.53,2.212
PPC,0.364,0.01,0.141,0.235,0.01,0.56
ME1,0.0467,0.055,0.01,0.01,0.01,0.01
ICL,0.534,0.683,0.508,0.504,0.636,0.056
MALS,0.534,0.683,0.508,0.504,0.636,0.056
CO2t,-8.905,-7.071,-7.614,-9.475,-9.763,-7.504
BIOMASS_Ecoli_core_w_GAM,0.17,0.17,0.17,0.17,0.17,0.17
SUCCt3,1.55,1.55,1.55,1.55,1.55,1.55
SUCCt2_2,1.55,1.55,1.55,1.55,1.55,1.55