parameter,reaction,metabolite
km_substrate2_IG3PS,IG3PS,gln__L_c
km_product2_IG3PS,IG3PS,eig3p_c
km_product3_IG3PS,IG3PS,aicar_c
km_substrate_IGPDH,IGPDH,eig3p_c
km_product_IGPDH,IGPDH,imacp_c
km_substrate_IGPS,IGPS,_2cpr5p_c
km_product1_IGPS,IGPS,co2_c
km_product2_IGPS,IGPS,_3ig3p_c
km_substrate1_ILETA,ILETA,ile__L_c
km_product1_ILETA,ILETA,glu__L_c
km_substrate2_ILETA,ILETA,akg_c
km_product2_ILETA,ILETA,_3mop_c
km_substrate1_ILETAm,ILETAm,ile__L_m
km_product1_ILETAm,ILETAm,glu__L_m
km_substrate2_ILETAm,ILETAm,akg_m
km_product2_ILETAm,ILETAm,_3mop_m
km_substrate_ILEtmi,ILEtmi,ile__L_m
km_product_ILEtmi,ILEtmi,ile__L_c
km_substrate1_IMPD,IMPD,nad_c
km_product1_IMPD,IMPD,xmp_c
km_substrate2_IMPD,IMPD,imp_c
km_product2_IMPD,IMPD,nadh_c
km_substrate_IND3ETHt,IND3ETHt,ind3eth_c
km_product_IND3ETHt,IND3ETHt,ind3eth_e
km_substrate_IND3ETHtm,IND3ETHtm,ind3eth_c
km_product_IND3ETHtm,IND3ETHtm,ind3eth_m
km_substrate_INDPYRD,INDPYRD,indpyr_c
km_product1_INDPYRD,INDPYRD,id3acald_c
km_product2_INDPYRD,INDPYRD,co2_c
km_substrate1_IPPS,IPPS,accoa_c
km_product1_IPPS,IPPS,coa_c
km_substrate2_IPPS,IPPS,_3mob_c
km_product2_IPPS,IPPS,_3c3hmp_c
km_substrate1_IPPSm,IPPSm,accoa_m
km_product1_IPPSm,IPPSm,coa_m
km_substrate2_IPPSm,IPPSm,_3mob_m
km_product2_IPPSm,IPPSm,_3c3hmp_m
km_substrate_Kt2r,Kt2r,h_e
km_product_Kt2r,Kt2r,h_c
km_substrate1_LALDO3,LALDO3,nadph_c
km_product1_LALDO3,LALDO3,nadp_c
km_substrate2_LALDO3,LALDO3,mthgxl_c
km_product2_LALDO3,LALDO3,lald__L_c
km_substrate1_LCADi,LCADi,nad_c
km_product1_LCADi,LCADi,nadh_c
km_substrate2_LCADi,LCADi,lald__L_c
km_product2_LCADi,LCADi,lac__L_c
km_substrate1_LEUTA,LEUTA,leu__L_c
km_product1_LEUTA,LEUTA,glu__L_c
km_substrate2_LEUTA,LEUTA,akg_c
km_product2_LEUTA,LEUTA,_4mop_c
km_substrate1_LGTHL,LGTHL,mthgxl_c
km_substrate2_LGTHL,LGTHL,gthrd_c
km_product_LGTHL,LGTHL,lgt__S_c
km_substrate1_LMPD_s_0450_c_1_256,LMPD_s_0450_c_1_256,hemeO_m
km_substrate2_LMPD_s_0450_c_1_256,LMPD_s_0450_c_1_256,_4mpetz_c
km_substrate3_LMPD_s_0450_c_1_256,LMPD_s_0450_c_1_256,o2_m
km_substrate4_LMPD_s_0450_c_1_256,LMPD_s_0450_c_1_256,succoa_m
km_substrate5_LMPD_s_0450_c_1_256,LMPD_s_0450_c_1_256,gly_m
km_substrate6_LMPD_s_0450_c_1_256,LMPD_s_0450_c_1_256,dhf_c
km_substrate7_LMPD_s_0450_c_1_256,LMPD_s_0450_c_1_256,_4adcho_c
km_substrate8_LMPD_s_0450_c_1_256,LMPD_s_0450_c_1_256,ca2_c
km_substrate9_LMPD_s_0450_c_1_256,LMPD_s_0450_c_1_256,ru5p__D_c
km_substrate10_LMPD_s_0450_c_1_256,LMPD_s_0450_c_1_256,amp_erm
km_substrate11_LMPD_s_0450_c_1_256,LMPD_s_0450_c_1_256,ctp_c
km_substrate12_LMPD_s_0450_c_1_256,LMPD_s_0450_c_1_256,o2_er
km_substrate13_LMPD_s_0450_c_1_256,LMPD_s_0450_c_1_256,gmp_c
km_substrate14_LMPD_s_0450_c_1_256,LMPD_s_0450_c_1_256,ser__L_erm
km_substrate15_LMPD_s_0450_c_1_256,LMPD_s_0450_c_1_256,ctp_erm
km_substrate16_LMPD_s_0450_c_1_256,LMPD_s_0450_c_1_256,dhap_c
km_substrate17_LMPD_s_0450_c_1_256,LMPD_s_0450_c_1_256,nadph_er
km_substrate18_LMPD_s_0450_c_1_256,LMPD_s_0450_c_1_256,histd_c
km_substrate19_LMPD_s_0450_c_1_256,LMPD_s_0450_c_1_256,pram_c
km_substrate20_LMPD_s_0450_c_1_256,LMPD_s_0450_c_1_256,fpram_c
km_substrate21_LMPD_s_0450_c_1_256,LMPD_s_0450_c_1_256,asn__L_c
km_substrate22_LMPD_s_0450_c_1_256,LMPD_s_0450_c_1_256,tyr__L_c
km_substrate23_LMPD_s_0450_c_1_256,LMPD_s_0450_c_1_256,gln__L_c
km_substrate24_LMPD_s_0450_c_1_256,LMPD_s_0450_c_1_256,o2_erm
km_substrate25_LMPD_s_0450_c_1_256,LMPD_s_0450_c_1_256,nadh_erm
km_substrate26_LMPD_s_0450_c_1_256,LMPD_s_0450_c_1_256,g6p_c
km_substrate27_LMPD_s_0450_c_1_256,LMPD_s_0450_c_1_256,phe__L_c
km_substrate28_LMPD_s_0450_c_1_256,LMPD_s_0450_c_1_256,cbasp_c
km_substrate29_LMPD_s_0450_c_1_256,LMPD_s_0450_c_1_256,aicar_c
km_substrate30_LMPD_s_0450_c_1_256,LMPD_s_0450_c_1_256,orn_c
km_substrate31_LMPD_s_0450_c_1_256,LMPD_s_0450_c_1_256,cbp_c
km_substrate32_LMPD_s_0450_c_1_256,LMPD_s_0450_c_1_256,glu5sa_c
km_substrate33_LMPD_s_0450_c_1_256,LMPD_s_0450_c_1_256,aacoa_c
km_substrate34_LMPD_s_0450_c_1_256,LMPD_s_0450_c_1_256,ile__L_c
km_substrate35_LMPD_s_0450_c_1_256,LMPD_s_0450_c_1_256,_2obut_m
km_substrate36_LMPD_s_0450_c_1_256,LMPD_s_0450_c_1_256,gly_c
km_substrate37_LMPD_s_0450_c_1_256,LMPD_s_0450_c_1_256,prpp_c
km_substrate38_LMPD_s_0450_c_1_256,LMPD_s_0450_c_1_256,trp__L_c
km_substrate39_LMPD_s_0450_c_1_256,LMPD_s_0450_c_1_256,ala__L_c
km_substrate40_LMPD_s_0450_c_1_256,LMPD_s_0450_c_1_256,val__L_c
km_substrate41_LMPD_s_0450_c_1_256,LMPD_s_0450_c_1_256,nad_m
km_substrate42_LMPD_s_0450_c_1_256,LMPD_s_0450_c_1_256,s_0834_m
km_substrate43_LMPD_s_0450_c_1_256,LMPD_s_0450_c_1_256,L2aadp_c
km_substrate44_LMPD_s_0450_c_1_256,LMPD_s_0450_c_1_256,leu__L_c
km_substrate45_LMPD_s_0450_c_1_256,LMPD_s_0450_c_1_256,_3c3hmp_c
km_substrate46_LMPD_s_0450_c_1_256,LMPD_s_0450_c_1_256,glu__L_m
km_substrate47_LMPD_s_0450_c_1_256,LMPD_s_0450_c_1_256,atp_m
km_substrate48_LMPD_s_0450_c_1_256,LMPD_s_0450_c_1_256,acorn_m
km_substrate49_LMPD_s_0450_c_1_256,LMPD_s_0450_c_1_256,o2_c
km_substrate50_LMPD_s_0450_c_1_256,LMPD_s_0450_c_1_256,ser__L_c
km_substrate51_LMPD_s_0450_c_1_256,LMPD_s_0450_c_1_256,accoa_c
km_substrate52_LMPD_s_0450_c_1_256,LMPD_s_0450_c_1_256,glu__L_c
km_substrate53_LMPD_s_0450_c_1_256,LMPD_s_0450_c_1_256,f6p_c
km_substrate54_LMPD_s_0450_c_1_256,LMPD_s_0450_c_1_256,gtp_c
km_substrate55_LMPD_s_0450_c_1_256,LMPD_s_0450_c_1_256,nad_c
km_substrate56_LMPD_s_0450_c_1_256,LMPD_s_0450_c_1_256,asp__L_c
km_substrate57_LMPD_s_0450_c_1_256,LMPD_s_0450_c_1_256,malcoa_c
km_substrate58_LMPD_s_0450_c_1_256,LMPD_s_0450_c_1_256,nadph_m
km_substrate59_LMPD_s_0450_c_1_256,LMPD_s_0450_c_1_256,g1p_c
km_substrate60_LMPD_s_0450_c_1_256,LMPD_s_0450_c_1_256,pyr_m
km_substrate61_LMPD_s_0450_c_1_256,LMPD_s_0450_c_1_256,nadph_c
km_substrate62_LMPD_s_0450_c_1_256,LMPD_s_0450_c_1_256,atp_c
km_substrate1_L_LACD2cm,L_LACD2cm,lac__L_c
km_product1_L_LACD2cm,L_LACD2cm,focytc_m
km_substrate2_L_LACD2cm,L_LACD2cm,ficytc_m
km_product2_L_LACD2cm,L_LACD2cm,pyr_c
km_substrate1_MALS,MALS,glx_c
km_product1_MALS,MALS,mal__L_c
km_substrate2_MALS,MALS,accoa_c
km_product2_MALS,MALS,coa_c
km_substrate_MALt,MALt,mal__L_e
km_product_MALt,MALt,mal__L_c
km_substrate1_MALtm,MALtm,pi_m
km_product1_MALtm,MALtm,pi_c
km_substrate2_MALtm,MALtm,mal__L_c
km_product2_MALtm,MALtm,mal__L_m
km_substrate1_MDH,MDH,nad_c
km_product1_MDH,MDH,oaa_c
km_substrate2_MDH,MDH,mal__L_c
km_product2_MDH,MDH,nadh_c
km_substrate1_MDHm,MDHm,nad_m
km_product1_MDHm,MDHm,oaa_m
km_substrate2_MDHm,MDHm,mal__L_m
km_product2_MDHm,MDHm,nadh_m
km_substrate1_ME1m,ME1m,nad_m
km_product1_ME1m,ME1m,pyr_m
km_substrate2_ME1m,ME1m,mal__L_m
km_product2_ME1m,ME1m,nadh_m
km_product3_ME1m,ME1m,co2_m
km_substrate1_ME2m,ME2m,nadp_m
km_product1_ME2m,ME2m,pyr_m
km_substrate2_ME2m,ME2m,mal__L_m
km_product2_ME2m,ME2m,nadph_m
km_product3_ME2m,ME2m,co2_m
km_substrate_MGSA,MGSA,dhap_c
km_product1_MGSA,MGSA,pi_c
km_product2_MGSA,MGSA,mthgxl_c
km_substrate_MGt2ec,MGt2ec,h_e
km_product_MGt2ec,MGt2ec,h_c
km_substrate_MNt2,MNt2,h_e
km_product_MNt2,MNt2,h_c
km_substrate1_NADH2_u6cm,NADH2_u6cm,q6_m
km_substrate2_NADH2_u6cm,NADH2_u6cm,nadh_c
km_substrate1_NADH2_u6m,NADH2_u6m,q6_m
km_substrate2_NADH2_u6m,NADH2_u6m,nadh_m
km_substrate_NADHtrm,NADHtrm,nadh_c
km_product_NADHtrm,NADHtrm,nadh_erm
km_substrate1_NADK,NADK,nad_c
km_product1_NADK,NADK,nadp_c
km_substrate2_NADK,NADK,atp_c
km_product2_NADK,NADK,adp_c
km_substrate1_NADKIN,NADKIN,nadh_c
km_product1_NADKIN,NADKIN,nadph_c
km_substrate2_NADKIN,NADKIN,atp_c
km_product2_NADKIN,NADKIN,adp_c
km_substrate_NADPHtru,NADPHtru,nadph_c
km_product_NADPHtru,NADPHtru,nadph_er
km_substrate_NADPtru,NADPtru,nadp_c
km_product_NADPtru,NADPtru,nadp_er
km_substrate1_NADS2,NADS2,gln__L_c
km_product1_NADS2,NADS2,ppi_c
km_substrate2_NADS2,NADS2,dnad_c
km_product2_NADS2,NADS2,nad_c
km_substrate3_NADS2,NADS2,atp_c
km_product3_NADS2,NADS2,glu__L_c
km_product4_NADS2,NADS2,amp_c
km_substrate_NADtrm,NADtrm,nad_c
km_product_NADtrm,NADtrm,nad_erm
km_substrate_NAt3_1,NAt3_1,h_e
km_product_NAt3_1,NAt3_1,h_c
km_substrate_NDP1,NDP1,adp_c
km_product1_NDP1,NDP1,pi_c
km_product2_NDP1,NDP1,amp_c
km_substrate_NDP3,NDP3,gdp_c
km_product1_NDP3,NDP3,pi_c
km_product2_NDP3,NDP3,gmp_c
km_substrate1_NDPK1,NDPK1,gdp_c
km_product1_NDPK1,NDPK1,gtp_c
km_substrate2_NDPK1,NDPK1,atp_c
km_product2_NDPK1,NDPK1,adp_c
km_substrate_NH4t,NH4t,nh4_e
km_product_NH4t,NH4t,nh4_c
km_substrate_NTD9,NTD9,gmp_c
km_product1_NTD9,NTD9,pi_c
km_product2_NTD9,NTD9,gsn_c
km_substrate_NTP3,NTP3,gtp_c
km_product1_NTP3,NTP3,pi_c
km_product2_NTP3,NTP3,gdp_c
km_substrate_O2t,O2t,o2_e
km_product_O2t,O2t,o2_c
km_substrate_O2ter,O2ter,o2_c
km_product_O2ter,O2ter,o2_er
km_substrate_O2tm,O2tm,o2_c
km_product_O2tm,O2tm,o2_m
km_substrate_O2trm,O2trm,o2_c
km_product_O2trm,O2trm,o2_erm
km_substrate_OAADC,OAADC,oaa_c
km_product1_OAADC,OAADC,pyr_c
km_product2_OAADC,OAADC,co2_c
km_substrate_OAAt,OAAt,oaa_c
km_product_OAAt,OAAt,oaa_e
km_substrate_OAAt2m,OAAt2m,oaa_c
km_product_OAAt2m,OAAt2m,oaa_m
km_substrate1_ORNTA,ORNTA,orn_c
km_product1_ORNTA,ORNTA,glu__L_c
km_substrate2_ORNTA,ORNTA,akg_c
km_product2_ORNTA,ORNTA,glu5sa_c
km_substrate_ORNt3m,ORNt3m,orn_m
km_product_ORNt3m,ORNt3m,orn_c
km_substrate_PACALDt,PACALDt,pacald_c
km_product_PACALDt,PACALDt,pacald_e
km_substrate_PACALDtm,PACALDtm,pacald_c
km_product_PACALDtm,PACALDtm,pacald_m
km_substrate1_PC,PC,pyr_c
km_product1_PC,PC,pi_c
km_substrate2_PC,PC,hco3_c
km_product2_PC,PC,oaa_c
km_substrate3_PC,PC,atp_c
km_product3_PC,PC,adp_c
km_substrate1_PDHm,PDHm,pyr_m
km_product1_PDHm,PDHm,nadh_m
km_substrate2_PDHm,PDHm,nad_m
km_product2_PDHm,PDHm,co2_m
km_substrate3_PDHm,PDHm,coa_m
km_product3_PDHm,PDHm,accoa_m
km_substrate_PEPt6,PEPt6,pep_e
km_product_PEPt6,PEPt6,pep_c
km_substrate1_PFK,PFK,f6p_c
km_product1_PFK,PFK,fdp_c
km_substrate2_PFK,PFK,atp_c
km_product2_PFK,PFK,adp_c
km_substrate1_PFK_3,PFK_3,s7p_c
km_product1_PFK_3,PFK_3,s17bp_c
km_substrate2_PFK_3,PFK_3,atp_c
km_product2_PFK_3,PFK_3,adp_c
km_substrate1_PGCD,PGCD,nad_c
km_product1_PGCD,PGCD,nadh_c
km_substrate2_PGCD,PGCD,_3pg_c
km_product2_PGCD,PGCD,_3php_c
km_substrate_PGI,PGI,g6p_c
km_product_PGI,PGI,f6p_c
km_substrate1_PGK,PGK,adp_c
km_product1_PGK,PGK,atp_c
km_substrate2_PGK,PGK,_13dpg_c
km_product2_PGK,PGK,_3pg_c
km_substrate_PGL,PGL,_6pgl_c
km_product_PGL,PGL,_6pgc_c
km_substrate_PGM,PGM,_3pg_c
km_product_PGM,PGM,_2pg_c
km_substrate_PGMT,PGMT,g6p_c
km_product_PGMT,PGMT,g1p_c
km_substrate1_PHETA1,PHETA1,phe__L_c
km_product1_PHETA1,PHETA1,phpyr_c
km_substrate2_PHETA1,PHETA1,akg_c
km_product2_PHETA1,PHETA1,glu__L_c
km_substrate1_PHETRA,PHETRA,pyr_c
km_product1_PHETRA,PHETRA,phpyr_c
km_substrate2_PHETRA,PHETRA,phe__L_c
km_product2_PHETRA,PHETRA,ala__L_c
km_substrate_PHEt2r,PHEt2r,phe__L_e
km_product_PHEt2r,PHEt2r,phe__L_c
km_substrate_PIt2m,PIt2m,pi_c
km_product_PIt2m,PIt2m,pi_m
km_substrate_PIt2r,PIt2r,pi_e
km_product_PIt2r,PIt2r,pi_c
km_substrate_PItrm,PItrm,pi_c
km_product_PItrm,PItrm,pi_erm
km_substrate1_PPA,PPA,ppi_c
km_product1_PPA,PPA,pi_c
km_substrate1_PPAm,PPAm,ppi_m
km_product1_PPAm,PPAm,pi_m
km_substrate1_PPCK,PPCK,oaa_c
km_product1_PPCK,PPCK,pep_c
km_substrate2_PPCK,PPCK,atp_c
km_product2_PPCK,PPCK,co2_c
km_product3_PPCK,PPCK,adp_c
km_substrate_PPItm,PPItm,ppi_c
km_product_PPItm,PPItm,ppi_m
km_substrate_PPItrm,PPItrm,ppi_c
km_product_PPItrm,PPItrm,ppi_erm
km_substrate_PPM,PPM,r1p_c
km_product_PPM,PPM,r5p_c
km_substrate1_PPND2,PPND2,pphn_c
km_product1_PPND2,PPND2,nadph_c
km_substrate2_PPND2,PPND2,nadp_c
km_product2_PPND2,PPND2,co2_c
km_product3_PPND2,PPND2,_34hpp_c
km_substrate_PPNDH,PPNDH,pphn_c
km_product1_PPNDH,PPNDH,phpyr_c
km_product2_PPNDH,PPNDH,co2_c
km_substrate_PPYRDC,PPYRDC,phpyr_c
km_product1_PPYRDC,PPYRDC,pacald_c
km_product2_PPYRDC,PPYRDC,co2_c
km_substrate_PRAIi,PRAIi,pran_c
km_product_PRAIi,PRAIi,_2cpr5p_c
km_substrate1_PRASCSi,PRASCSi,atp_c
km_product1_PRASCSi,PRASCSi,pi_c
km_substrate2_PRASCSi,PRASCSi,asp__L_c
km_product2_PRASCSi,PRASCSi,adp_c
km_substrate3_PRASCSi,PRASCSi,_5aizc_c
km_product3_PRASCSi,PRASCSi,_25aics_c
km_substrate1_PRFGS,PRFGS,gln__L_c
km_product1_PRFGS,PRFGS,pi_c
km_substrate2_PRFGS,PRFGS,fgam_c
km_product2_PRFGS,PRFGS,glu__L_c
km_substrate3_PRFGS,PRFGS,atp_c
km_product3_PRFGS,PRFGS,fpram_c
km_product4_PRFGS,PRFGS,adp_c
km_substrate1_PRPPS,PRPPS,r5p_c
km_product1_PRPPS,PRPPS,prpp_c
km_substrate2_PRPPS,PRPPS,atp_c
km_product2_PRPPS,PRPPS,amp_c
km_substrate1_PSCVT,PSCVT,skm5p_c
km_product1_PSCVT,PSCVT,pi_c
km_substrate2_PSCVT,PSCVT,pep_c
km_product2_PSCVT,PSCVT,_3psme_c
km_substrate1_PSERT,PSERT,glu__L_c
km_product1_PSERT,PSERT,pser__L_c
km_substrate2_PSERT,PSERT,_3php_c
km_product2_PSERT,PSERT,akg_c
km_substrate_PSER_Lt6,PSER_Lt6,pser__L_e
km_product_PSER_Lt6,PSER_Lt6,pser__L_c
km_substrate_PSP_L,PSP_L,pser__L_c
km_product1_PSP_L,PSP_L,ser__L_c
km_product2_PSP_L,PSP_L,pi_c
km_substrate1_PUNP3,PUNP3,pi_c
km_product1_PUNP3,PUNP3,r1p_c
km_substrate2_PUNP3,PUNP3,gsn_c
km_product2_PUNP3,PUNP3,gua_c
km_substrate1_PYK,PYK,pep_c
km_product1_PYK,PYK,pyr_c
km_substrate2_PYK,PYK,adp_c
km_product2_PYK,PYK,atp_c
km_substrate1_PYNP2r,PYNP2r,uri_c
km_product1_PYNP2r,PYNP2r,ura_c
km_substrate2_PYNP2r,PYNP2r,pi_c
km_product2_PYNP2r,PYNP2r,r1p_c
km_substrate_PYRDC,PYRDC,pyr_c
km_product1_PYRDC,PYRDC,co2_c
km_product2_PYRDC,PYRDC,acald_c
km_substrate_PYRTRAINPROSYM,PYRTRAINPROSYM,ppi_e
km_product_PYRTRAINPROSYM,PYRTRAINPROSYM,ppi_c
km_substrate_PYRt2,PYRt2,pyr_e
km_product_PYRt2,PYRt2,pyr_c
km_substrate_PYRt2m,PYRt2m,pyr_c
km_product_PYRt2m,PYRt2m,pyr_m
km_substrate1_RBK,RBK,rib__D_c
km_product1_RBK,RBK,r5p_c
km_substrate2_RBK,RBK,atp_c
km_product2_RBK,RBK,adp_c
km_substrate_RPE,RPE,ru5p__D_c
km_product_RPE,RPE,xu5p__D_c
km_substrate_RPI,RPI,ru5p__D_c
km_product_RPI,RPI,r5p_c
km_substrate_SBP,SBP,s17bp_c
km_product1_SBP,SBP,s7p_c
km_product2_SBP,SBP,pi_c
km_substrate_SERD_L,SERD_L,ser__L_c
km_product1_SERD_L,SERD_L,pyr_c
km_product2_SERD_L,SERD_L,nh4_c
km_substrate_SER__Ltrm,SER__Ltrm,ser__L_c
km_product_SER__Ltrm,SER__Ltrm,ser__L_erm
km_substrate_SERt2r,SERt2r,ser__L_e
km_product_SERt2r,SERt2r,ser__L_c
km_substrate1_SHK3Dr,SHK3Dr,nadph_c
km_product1_SHK3Dr,SHK3Dr,skm_c
km_substrate2_SHK3Dr,SHK3Dr,_3dhsk_c
km_product2_SHK3Dr,SHK3Dr,nadp_c
km_substrate1_SHKK,SHKK,skm_c
km_product1_SHKK,SHKK,skm5p_c
km_substrate2_SHKK,SHKK,atp_c
km_product2_SHKK,SHKK,adp_c
km_substrate1_SSALy,SSALy,sucsal_c
km_product1_SSALy,SSALy,succ_c
km_substrate2_SSALy,SSALy,nadp_c
km_product2_SSALy,SSALy,nadph_c
km_substrate_SUCCt,SUCCt,succ_e
km_product_SUCCt,SUCCt,succ_c
km_substrate1_SUCCtm,SUCCtm,succ_c
km_product1_SUCCtm,SUCCtm,succ_m
km_substrate2_SUCCtm,SUCCtm,pi_m
km_product2_SUCCtm,SUCCtm,pi_c
km_substrate1_SUCD2_u6m,SUCD2_u6m,succ_m
km_substrate2_SUCD2_u6m,SUCD2_u6m,q6_m
km_substrate1_SUCFUMtm,SUCFUMtm,succ_c
km_product1_SUCFUMtm,SUCFUMtm,succ_m
km_substrate2_SUCFUMtm,SUCFUMtm,fum_m
km_product2_SUCFUMtm,SUCFUMtm,fum_c
km_substrate1_SUCOAACTm,SUCOAACTm,succoa_m
km_product1_SUCOAACTm,SUCOAACTm,succ_m
km_substrate2_SUCOAACTm,SUCOAACTm,ac_m
km_product2_SUCOAACTm,SUCOAACTm,accoa_m
km_substrate1_SUCOASm,SUCOASm,succoa_m
km_product1_SUCOASm,SUCOASm,succ_m
km_substrate2_SUCOASm,SUCOASm,pi_m
km_product2_SUCOASm,SUCOASm,coa_m
km_substrate3_SUCOASm,SUCOASm,adp_m
km_product3_SUCOASm,SUCOASm,atp_m
km_substrate1_TALA,TALA,s7p_c
km_product1_TALA,TALA,f6p_c
km_substrate2_TALA,TALA,g3p_c
km_product2_TALA,TALA,e4p_c
km_substrate1_THZPSN1_SC,THZPSN1_SC,xu5p__D_c
km_product1_THZPSN1_SC,THZPSN1_SC,pyr_c
km_substrate2_THZPSN1_SC,THZPSN1_SC,gly_c
km_product2_THZPSN1_SC,THZPSN1_SC,nh4_c
km_substrate3_THZPSN1_SC,THZPSN1_SC,cys__L_c
km_product3_THZPSN1_SC,THZPSN1_SC,co2_c
km_substrate4_THZPSN1_SC,THZPSN1_SC,achms_c
km_product4_THZPSN1_SC,THZPSN1_SC,ac_c
km_product5_THZPSN1_SC,THZPSN1_SC,_4mpetz_c
km_product6_THZPSN1_SC,THZPSN1_SC,_4abut_c
km_substrate1_THZPSN2_SC,THZPSN2_SC,r5p_c
km_product1_THZPSN2_SC,THZPSN2_SC,pyr_c
km_substrate2_THZPSN2_SC,THZPSN2_SC,gly_c
km_product2_THZPSN2_SC,THZPSN2_SC,nh4_c
km_substrate3_THZPSN2_SC,THZPSN2_SC,cys__L_c
km_product3_THZPSN2_SC,THZPSN2_SC,co2_c
km_substrate4_THZPSN2_SC,THZPSN2_SC,achms_c
km_product4_THZPSN2_SC,THZPSN2_SC,ac_c
km_product5_THZPSN2_SC,THZPSN2_SC,_4mpetz_c
km_product6_THZPSN2_SC,THZPSN2_SC,_4abut_c
km_substrate1_TKT1,TKT1,xu5p__D_c
km_product1_TKT1,TKT1,s7p_c
km_substrate2_TKT1,TKT1,r5p_c
km_product2_TKT1,TKT1,g3p_c
km_substrate1_TKT2,TKT2,xu5p__D_c
km_product1_TKT2,TKT2,g3p_c
km_substrate2_TKT2,TKT2,e4p_c
km_product2_TKT2,TKT2,f6p_c
km_substrate_TPI,TPI,dhap_c
km_product_TPI,TPI,g3p_c
km_substrate1_TRPS1,TRPS1,ser__L_c
km_product1_TRPS1,TRPS1,trp__L_c
km_substrate2_TRPS1,TRPS1,_3ig3p_c
km_product2_TRPS1,TRPS1,g3p_c
km_substrate1_TRPTA,TRPTA,trp__L_c
km_product1_TRPTA,TRPTA,indpyr_c
km_substrate2_TRPTA,TRPTA,akg_c
km_product2_TRPTA,TRPTA,glu__L_c
km_substrate_TRPt2r,TRPt2r,trp__L_e
km_product_TRPt2r,TRPt2r,trp__L_c
km_substrate1_TYRTA,TYRTA,glu__L_c
km_product1_TYRTA,TYRTA,tyr__L_c
km_substrate2_TYRTA,TYRTA,_34hpp_c
km_product2_TYRTA,TYRTA,akg_c
km_substrate1_TYRTRA,TYRTRA,ala__L_c
km_product1_TYRTRA,TYRTRA,tyr__L_c
km_substrate2_TYRTRA,TYRTRA,_34hpp_c
km_product2_TYRTRA,TYRTRA,pyr_c
km_substrate_TYRt2r,TYRt2r,tyr__L_e
km_product_TYRt2r,TYRt2r,tyr__L_c
km_substrate1_UBICRED,UBICRED,s_1535_m
km_product1_UBICRED,UBICRED,focytc_m
km_substrate2_UBICRED,UBICRED,ficytc_m
km_product2_UBICRED,UBICRED,q6_m
km_substrate_URIH,URIH,uri_c
km_product1_URIH,URIH,ura_c
km_product2_URIH,URIH,rib__D_c
km_substrate1_VALTA,VALTA,val__L_c
km_product1_VALTA,VALTA,glu__L_c
km_substrate2_VALTA,VALTA,akg_c
km_product2_VALTA,VALTA,_3mob_c
km_substrate1_VALTAim,VALTAim,val__L_m
km_product1_VALTAim,VALTAim,glu__L_m
km_substrate2_VALTAim,VALTAim,akg_m
km_product2_VALTAim,VALTAim,_3mob_m
km_substrate_VALt5m,VALt5m,val__L_c
km_product_VALt5m,VALt5m,val__L_m
km_substrate1_araphe3,araphe3,trp__L_c
km_product1_araphe3,araphe3,phe__L_c
km_substrate2_araphe3,araphe3,phpyr_c
km_product2_araphe3,araphe3,indpyr_c
km_substrate_e4p2tp,e4p2tp,e4p_c
km_product_e4p2tp,e4p2tp,e4p_e
km_substrate_g3p2tp,g3p2tp,g3p_c
km_product_g3p2tp,g3p2tp,g3p_e
km_substrate_glyc2tp,glyc2tp,glyc_c
km_product_glyc2tp,glyc2tp,glyc_e
km_substrate_r2073_1,r2073_1,h_e
km_product_r2073_1,r2073_1,h_c
km_substrate1_r_4235,r_4235,glc__D_c
km_product1_r_4235,r_4235,g6p_c
km_substrate2_r_4235,r_4235,atp_c
km_product2_r_4235,r_4235,adp_c
km_substrate_ru5p2tp,ru5p2tp,ru5p__D_c
km_product_ru5p2tp,ru5p2tp,ru5p__D_e
