Reaction Name,microaerobic,nanoaerobic1_lower_bound,nanoaerobic1_upper_bound,nanoaerobic2_lower_bound,nanoaerobic2_upper_bound,anaerobic_lower_bound,anaerobic_upper_bound
ALDD2y,0.092,0.073,0.111,0.067,0.114,0.106,0.2
CSm,0.9808,0.584,0.731,0.348,0.475,0.18,0.25
PGI,0.7848,1.225,1.556,1.543,2.245,5.41,5.764
HEX1,1.318,1.955,2.144,2.145,2.752,6.173,6.52
PPCK,0.0378,0.015,0.305,-0.104,0.301,,
PYRDC,0.224,1.525,2.276,0,3.371,9.16,9.712
PDHm,1.02,0.617,0.77,0.378,0.521,0.225,0.25
PYK,1.7578,2.666,3.856,3.372,4.63,10,11
TALA,0.0788,0.088,0.136,0.053,0.081,0.096,0.15
ALCD2ir,0.089,1.456,2.178,2.3,3.255,9.05,9.6
ACtr,0.01,0.01,0.01,0,0.01,0,0.01
GLCt1,1.3185,1.955,2.143,2.146,2.752,6.173,6.52
OAAt2m,0.2344,0.131,0.188,0.131,0.188,,
PYRt2m,1.17,0.7,1.009,0.5,0.795,0.4,0.6
ETOHt,0.125,1.461,2.175,2.386,3.253,,
OAAt,0.125,0,0.143,0,100,,
PEPt6,-0.055,-0.084,0,-100,0,,
FBA,0.8885,1.369,1.796,1.65,2.343,5.585,5.911
ICDHxm,0.948,0.12,0.73,0,100,,
MDHm,0.791,0.423,0.576,0.156,0.318,,
GLYK,0.01,0,0.01,0,0.01,1.046,1.121
glyc2tp,0.01,0,0.01,0,0.01,1.041,1.121
e4p2tp,0.025,0.03,0.032,0,0.04,,
AKGt,0.1575,0.134,0.182,0.116,0.228,0,0.2
GAPD,1.7415,2.712,3.623,3.266,4.64,10.082,11
G6PDH2r,0.2415,0.288,0.401,0.191,0.245,0.299,0.7
PYRt2,-0.173,-0.248,0,-0.248,-0.193,,
ACS,0.165,0.07,0.25,0.067,0.25,0.106,0.25
g3p2tp,0.0805,0.075,0.081,0,0.9,,
TKT2,0.0455,0.055,0.106,0.023,0.055,0.048,0.12
TKT1,0.078,0.089,0.135,0.054,0.081,0.096,0.15
PC,0.3965,0.303,0.59,0.23,0.541,0.323,0.4
ru5p2tp,0.03,0,0.056,0,100,,
ME2m,0.0755,-0.009,0.009,0,0,,
LMPD_s_0450_c_1_256,0.000000115,0.104,0.115,0.096,0.104,0.121,0.124
O2t,2.755,-2,-1.6,-1.6,-1.05,-0.5,0
CO2t,2.36,4,3.84,4.1,7,0,100